expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template,server,presentation_order,age
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,FALSE,keypress,resp_sovm5_kadin_adami_aldatti_2c_01_09,3313,['adam'],choice-response,kadin,613a95f576739980a84d5f0b,sovm5_kadin_adami_aldatti_2c_01,5416,122,SOVM5_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm7_komiseri_goturdu_polis_2a_01_14,4374,['polis'],choice-response,polis,613a95f576739980a84d5f0b,ovsm7_komiseri_goturdu_polis_2a_01,6551,123,OVSM7_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm2_kiz_oglani_sevdi_2a_01_23,3377,['oglan'],choice-response,oglan,613a95f576739980a84d5f0b,sovm2_kiz_oglani_sevdi_2a_01,5425,124,SOVM2_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu5_elektrikci_tesisatci_ovdu_2b_01_26,2795,['elektrikci'],choice-response,elektrikci,613a95f576739980a84d5f0b,sovu5_elektrikci_tesisatci_ovdu_2b_01,5449,125,SOVU5_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu4_zurafa_fil_kizdirdi_2c_01_16,3682,['zurafa'],choice-response,zurafa,613a95f576739980a84d5f0b,sovu4_zurafa_fil_kizdirdi_2c_01,5970,126,SOVU4_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm1_kadini_karsiladi_adam_2d_01_20,2025,['adam'],choice-response,adam,613a95f576739980a84d5f0b,ovsm1_kadini_karsiladi_adam_2d_01,4069,127,OVSM1_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm1_doktoru_getirdi_hemsire_2b_01_01,2535,['doktor'],choice-response,doktor,613a95f576739980a84d5f0b,ovsm1_doktoru_getirdi_hemsire_2b_01,4610,128,OVSM1_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm2_yetiskin_cocugu_aradi_2d_01_04,1308,['yetiskin'],choice-response,yetiskin,613a95f576739980a84d5f0b,sovm2_yetiskin_cocugu_aradi_2d_01,3494,129,SOVM2_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu5_cocuk_izledi_buyukbaba_2a_01_40,1939,['buyukbaba'],choice-response,buyukbaba,613a95f576739980a84d5f0b,ovsu5_cocuk_izledi_buyukbaba_2a_01,4015,130,OVSU5_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_catch4_sovu72d,2612,['bahcivan'],choice-response,bahcivan,613a95f576739980a84d5f0b,sovu7_bahcivan_copcu_sasirtti_2d_01,4923,131,catch4_sovu72d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu3_gazeteci_gosterdi_editor_2a_01_17,2897,['gazeteci'],choice-response,gazeteci,613a95f576739980a84d5f0b,ovsu3_gazeteci_gosterdi_editor_2a_01,5250,132,OVSU3_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm2_romanci_sairi_yerdi_2c_01_08,3125,['romanci'],choice-response,romanci,613a95f576739980a84d5f0b,sovm2_romanci_sairi_yerdi_2c_01,5318,133,SOVM2_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm9_cocugu_izledi_buyukbaba_2d_01_40,1765,['buyukbaba'],choice-response,buyukbaba,613a95f576739980a84d5f0b,ovsm9_cocugu_izledi_buyukbaba_2d_01,3942,134,OVSM9_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu9_zebra_aslan_farketti_2d_01_11,2841,['aslan'],choice-response,aslan,613a95f576739980a84d5f0b,sovu9_zebra_aslan_farketti_2d_01,5143,135,SOVU9_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu6_teyze_simartti_amca_2c_01_37,5043,['teyze'],choice-response,teyze,613a95f576739980a84d5f0b,ovsu6_teyze_simartti_amca_2c_01,7027,136,OVSU6_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu3_copcu_sasirtti_bahcivan_2b_01_10,2982,['copcu'],choice-response,copcu,613a95f576739980a84d5f0b,ovsu3_copcu_sasirtti_bahcivan_2b_01,5138,137,OVSU3_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm9_prenses_prensi_optu_2c_01_13,4928,['prens'],choice-response,prens,613a95f576739980a84d5f0b,sovm9_prenses_prensi_optu_2c_01,7135,138,SOVM9_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm1_koyun_kuzuyu_itti_2d_01_07,2907,['kuzu'],choice-response,kuzu,613a95f576739980a84d5f0b,sovm1_koyun_kuzuyu_itti_2d_01,4985,139,SOVM1_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu8_essek_okuz_kovaladi_2a_01_05,4444,['okuz'],choice-response,okuz,613a95f576739980a84d5f0b,sovu8_essek_okuz_kovaladi_2a_01,6681,140,SOVU8_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,FALSE,keypress,resp_ovsu1_muzisyen_bosadi_manken_2d_01_28,7327,['manken'],choice-response,muzisyen,613a95f576739980a84d5f0b,ovsu1_muzisyen_bosadi_manken_2d_01,9415,141,OVSU1_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_catch3_sovm12b,4503,['fil'],choice-response,fil,613a95f576739980a84d5f0b,sovm1_zurafa_fili_kizdirdi_2b_01,6695,142,catch3_sovm12b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,FALSE,keypress,resp_ovsu8_yetiskin_aradi_cocuk_2c_01_04,1830,['cocuk'],choice-response,yetiskin,613a95f576739980a84d5f0b,ovsu8_yetiskin_aradi_cocuk_2c_01,3911,143,OVSU8_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,FALSE,keypress,resp_sovm7_amca_teyzeyi_simartti_2d_01_37,1522,['teyze'],choice-response,amca,613a95f576739980a84d5f0b,sovm7_amca_teyzeyi_simartti_2d_01,3737,144,SOVM7_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu1_kardes_cekistirdi_abla_2c_01_38,6164,['abla'],choice-response,abla,613a95f576739980a84d5f0b,ovsu1_kardes_cekistirdi_abla_2c_01,8272,145,OVSU1_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu2_prenses_prens_optu_2d_01_13,2205,['prens'],choice-response,prens,613a95f576739980a84d5f0b,sovu2_prenses_prens_optu_2d_01,4355,146,SOVU2_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,FALSE,keypress,resp_ovsm7_okuzu_kovaladi_esek_2b_01_05,1862,['okuz'],choice-response,esek,613a95f576739980a84d5f0b,ovsm7_okuzu_kovaladi_esek_2b_01,3901,147,OVSM7_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu7_bahcivan_copcu_sasirtti_2d_01_10,2604,['bahcivan'],choice-response,bahcivan,613a95f576739980a84d5f0b,sovu7_bahcivan_copcu_sasirtti_2d_01,4897,148,SOVU7_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,FALSE,keypress,resp_ovsu9_temizlikci_gozetledi_usak_2a_01_18,2325,['usak'],choice-response,temizlikci,613a95f576739980a84d5f0b,ovsu9_temizlikci_gozetledi_usak_2a_01,4697,149,OVSU9_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu6_nine_komsu_ayipladi_2d_01_39,2051,['komsu'],choice-response,komsu,613a95f576739980a84d5f0b,sovu6_nine_komsu_ayipladi_2d_01,4240,150,SOVU6_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu1_delikanli_kadin_etkiledi_2d_01_15,3525,['kadin'],choice-response,kadin,613a95f576739980a84d5f0b,sovu1_delikanli_kadin_etkiledi_2d_01,5897,151,SOVU1_2d,eu,backward,37
