,tier,sentence,label,interval,third,F0,F0sd,F0max,F0min,dB,dBsd,dBmax,duration,wo,case,propcontent,"propcontent_no,",quart,pno,grammatical_role,diffo3v1
104,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,korkut,3,2,233.2257641,8.763041505,248.7254181,225.7791863,57.0437093,9.826890012,60.83087577,0.948662132,ovs,m,ormanciyikorkuttugeyik,30,2c,1,verb,-49.3410675
105,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,korkut,3,3,NA,NA,NA,NA,57.0437093,5.688282068,43.73207798,0.948662132,ovs,m,ormanciyikorkuttugeyik,30,2c,1,verb,-49.3410675
106,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,geyik,5,1,197.402028,12.89504341,224.2206482,179.0604282,54.64086247,3.833347069,57.08475504,1.450612245,ovs,m,ormanciyikorkuttugeyik,30,2c,1,subject,-49.3410675
107,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,geyik,5,2,171.6957465,3.815631995,179.0604282,166.3096609,53.15664327,1.674670177,55.10085615,1.450612245,ovs,m,ormanciyikorkuttugeyik,30,2c,1,subject,-49.3410675
108,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,geyik,5,3,163.5347343,NA,166.3096609,162.2136442,53.15664327,7.388102513,46.4630048,1.450612245,ovs,m,ormanciyikorkuttugeyik,30,2c,1,subject,-49.3410675
109,1,ovsm4_oglu_utandirdi_baba_2c_01,ogl,1,1,239.5410668,NA,239.6842256,238.8060746,63.53530814,NA,63.56931992,0.258798186,ovs,m,ogluutandirdibaba,42,2c,1,object,15.237082
110,1,ovsm4_oglu_utandirdi_baba_2c_01,ogl,1,2,238.4636218,1.08057248,240.2353206,237.3914927,63.12671692,0.270908446,63.44945589,0.258798186,ovs,m,ogluutandirdibaba,42,2c,1,object,15.237082
111,1,ovsm4_oglu_utandirdi_baba_2c_01,ogl,1,3,243.2040509,8.440668115,258.9942502,238.9624387,63.12671692,0.810426333,62.18368969,0.258798186,ovs,m,ogluutandirdibaba,42,2c,1,object,15.237082
112,1,ovsm4_oglu_utandirdi_baba_2c_01,utandir,3,1,227.9669689,17.43805755,255.718859,208.9554149,51.85725977,7.606209418,55.99715445,0.81861678,ovs,m,ogluutandirdibaba,42,2c,1,verb,15.237082
113,1,ovsm4_oglu_utandirdi_baba_2c_01,utandir,3,2,209.806746,7.34114482,223.0133881,203.0817881,56.81492472,2.759595531,58.40980918,0.81861678,ovs,m,ogluutandirdibaba,42,2c,1,verb,15.237082
